"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1912.4/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0x8e0a4146f03ce3b79776b8998089b96c0d1662f8f519ebaaaee317e57e2a76e9","17130893","1682518043","2023-04-26 14:07:23","0x196f6f8d7982977818c5cb12d8487c7c647a6daf","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.004991394511167815","9.54554286315733","1866.80","","","Approve",""
"0xc2b0820fed4a326242551732ba26ff21b0d9a3ec8c75329151a82bc985ef8f12","17130899","1682518115","2023-04-26 14:08:35","0xc5bacbb46b18cd035c1063d16d32c6bdcf541de8","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.0045000688715119","8.60593170987936","1866.80","","","Approve",""
"0xdbd5f4bab2a0bd36e3e583e2e74341faa94affc01863fea00f09dd50c6e425af","17130900","1682518127","2023-04-26 14:08:47","0x24c8c7d66c19a8b952750fa4d2c604b676fcffbd","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.00443450375800782","8.48054498681416","1866.80","","","Approve",""
"0xee260aec59fa824631ad5ae1d456abc84bac65372e14c619cb0ae5247ad59cc8","17130905","1682518187","2023-04-26 14:09:47","0xb6d78f9748c4ea383bf5760a2d4f2652613823a3","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.00421577712413312","8.06225217219218","1866.80","","","Approve",""
"0xf99e415d6ec402d6a6adcbfd4fc0166dea2bcbe97063c2b1f857e66a0f81b36a","17130905","1682518187","2023-04-26 14:09:47","0x3f4d24e85a7b92e37e49bc2adff40fb320d3fccd","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.00421577712413312","8.06225217219218","1866.80","","","Approve",""
"0xe9fed1778b9dc70e3a274c011afd58703910f614f60d0b7942dca2ce0a54bc79","17130905","1682518187","2023-04-26 14:09:47","0xf321079daa7309d52b0b3865dc3ae565807491ba","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.00421577712413312","8.06225217219218","1866.80","","","Approve",""
"0xd0c67bf9d03e85fb05ae60b55ecc500adacb554f946629b4c690a07fe7d63672","17130908","1682518223","2023-04-26 14:10:23","0x294dbe708e30781fb89cab7d86be6ba16ee0f267","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.003939649532673435","7.53418576628468","1866.80","","","Approve",""
"0x9ac07405eaa67fc133ebe946eb4eafd21ee4eaf1994c012fa003b91addddd941","17130909","1682518235","2023-04-26 14:10:35","0xced1f3fe4bdaf7f0b501eedc3082d13c4898970a","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.0063242395742627","12.09447576182","1866.80","","","Approve",""
"0xeb789007b6bb50c87ab79b4f41bb10262adb36ccdf0c9d3c08e6fe3f267b5b72","17130909","1682518235","2023-04-26 14:10:35","0x3503cbaf7909f8dad28fe6b1fa60f174734dc749","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.0063242395742627","12.09447576182","1866.80","","","Approve",""
"0x4d8b603c0b484c1cbcbd1306e36d1e80975c1953586cfd5835711b8a727ac051","17130909","1682518235","2023-04-26 14:10:35","0xfeb0469cd4ae1a03734231478e1624530dedbb4d","0x1ce270557c1f68cfb577b856766310bf8b47fd9c","","0","0","0","0.0041808695742627","7.99549497381999","1866.80","","","Approve",""
